Sample_ID,Data_Type,Condition,Damage_Type,Vent_Holes,Fiber_Volume_Fraction,Void_Content,Fiber_Orientation_Degree,LBP_Feature_1,LBP_Feature_2,Texture_Contrast,Average_Temperature,Temperature_Variance,Defect_Density,Crack_Length_mm,Fracture_Toughness,Tensile_Strength,Structural_Integrity_Class
5081,C-scan (BVID with Holes),Damaged,BVID,4,0.666,0.045,82.38,0.174,0.667,0.877,44.52,2.4,0.184,3.291,53.66,461.52,Medium
5082,C-scan (BVID with Holes),Damaged,BVID,5,0.68,0.027,56.85,0.685,0.962,0.788,98.53,7.24,0.154,1.927,44.47,565.41,Medium
5083,C-scan (BVID with Holes),Damaged,BVID,3,0.566,0.065,68.17,0.724,0.567,0.756,115.88,9.65,0.198,4.084,21.39,842.92,Low
5084,Thermograph,Mixed,None,5,0.549,0.055,34.54,0.432,0.428,0.424,118.81,12.97,0.078,0.766,50.08,470.73,High
5085,C-scan (BVID with Holes),Damaged,BVID,3,0.49,0.066,19.85,0.408,0.828,0.521,56.0,14.23,0.093,3.112,36.02,864.81,Medium
5086,C-scan (BVID with Holes),Damaged,BVID,4,0.632,0.035,36.33,0.93,0.346,0.312,41.95,3.05,0.09,3.124,44.69,690.98,Medium
5087,C-scan (Pristine with Holes),Pristine,None,4,0.491,0.048,54.3,0.449,0.846,0.315,88.57,10.24,0.023,0.41,25.99,351.23,Low
5088,Thermograph,Mixed,None,2,0.528,0.046,12.17,0.361,0.187,0.261,103.88,8.48,0.125,1.348,22.77,431.01,Low
5089,C-scan (BVID with Holes),Damaged,BVID,4,0.6,0.063,80.95,0.118,0.58,0.296,54.4,11.58,0.115,2.382,24.48,856.67,Low
5090,Thermograph,Mixed,None,6,0.631,0.011,71.11,0.469,0.553,0.418,91.56,3.52,0.043,1.995,20.93,627.64,Low
5091,Thermograph,Mixed,None,5,0.461,0.042,51.89,0.768,0.963,0.459,94.72,14.65,0.066,2.338,26.93,729.96,Low
5092,Thermograph,Mixed,Thermal Anomaly,2,0.568,0.04,14.21,0.193,0.895,0.318,72.0,13.49,0.139,2.88,36.12,555.74,Medium
5093,C-scan (BVID with Holes),Damaged,BVID,5,0.543,0.035,18.67,0.919,0.79,0.599,75.55,7.37,0.085,2.866,58.31,436.7,Medium
5094,Thermograph,Mixed,Thermal Anomaly,6,0.629,0.043,62.26,0.263,0.615,0.335,89.71,8.82,0.107,3.317,52.92,820.23,Medium
5095,C-scan (BVID with Holes),Damaged,BVID,2,0.615,0.056,83.38,0.585,0.16,0.771,95.42,10.58,0.128,1.36,57.7,433.84,Medium
5096,C-scan (BVID with Holes),Damaged,BVID,6,0.65,0.056,76.42,0.37,0.544,0.5,36.75,7.54,0.179,3.132,36.59,433.19,Medium
5097,Thermograph,Mixed,Thermal Anomaly,6,0.622,0.078,25.9,0.979,0.96,0.537,97.33,11.51,0.053,0.585,45.64,375.64,High
5098,C-scan (Pristine with Holes),Pristine,None,5,0.478,0.036,63.59,0.899,0.8,0.209,73.95,10.45,0.026,0.104,39.79,812.37,Medium
5099,Thermograph,Mixed,Thermal Anomaly,5,0.581,0.079,27.91,0.311,0.553,0.781,57.27,1.81,0.057,2.986,27.85,419.69,Low
5100,Thermograph,Mixed,None,5,0.624,0.063,83.27,0.857,0.168,0.428,108.17,11.66,0.124,2.937,29.48,529.43,Low
5101,C-scan (BVID with Holes),Damaged,BVID,2,0.451,0.036,36.9,0.493,0.41,0.685,106.42,13.11,0.181,4.747,39.53,817.42,Medium
5102,Thermograph,Mixed,None,2,0.485,0.064,24.77,0.66,0.399,0.843,35.22,5.52,0.069,2.682,33.07,434.78,Medium
5103,C-scan (Pristine with Holes),Pristine,None,6,0.557,0.062,13.27,0.391,0.254,0.695,25.46,6.97,0.036,0.29,55.25,712.65,High
5104,Thermograph,Mixed,None,4,0.539,0.038,42.21,0.474,0.298,0.844,55.57,14.4,0.076,3.296,47.61,504.2,High
5105,C-scan (BVID with Holes),Damaged,BVID,5,0.516,0.02,8.69,0.662,0.18,0.831,63.06,10.9,0.13,1.5,20.86,674.01,Low
5106,C-scan (Pristine with Holes),Pristine,None,5,0.64,0.073,36.54,0.327,0.534,0.757,94.18,3.05,0.027,0.92,22.2,734.83,Low
5107,C-scan (BVID with Holes),Damaged,BVID,4,0.54,0.025,33.44,0.365,0.567,0.649,72.23,9.27,0.151,2.595,56.92,541.89,Medium
5108,C-scan (BVID with Holes),Damaged,BVID,4,0.564,0.051,75.9,0.516,0.621,0.759,38.41,7.47,0.135,1.726,45.92,476.62,Medium
5109,Thermograph,Mixed,Thermal Anomaly,4,0.474,0.067,2.1,0.896,0.24,0.878,83.75,6.78,0.128,3.162,21.89,527.78,Low
5110,Thermograph,Mixed,None,2,0.585,0.021,12.96,0.776,0.84,0.393,91.89,5.24,0.126,1.621,46.6,436.97,Medium
5111,Thermograph,Mixed,Thermal Anomaly,3,0.658,0.077,47.99,0.112,0.778,0.853,58.67,4.9,0.117,1.685,45.41,875.1,Medium
5112,Thermograph,Mixed,None,5,0.672,0.068,52.37,0.784,0.941,0.871,79.44,14.0,0.093,2.154,31.95,421.32,Medium
5113,C-scan (BVID with Holes),Damaged,BVID,3,0.581,0.072,50.66,0.657,0.943,0.293,39.72,12.02,0.162,3.65,54.13,549.91,Medium
5114,C-scan (Pristine with Holes),Pristine,None,3,0.463,0.067,68.71,0.431,0.968,0.479,69.32,8.58,0.047,0.105,30.4,522.42,Medium
5115,Thermograph,Mixed,None,2,0.571,0.061,73.08,0.883,0.581,0.615,39.19,2.18,0.119,2.59,37.66,353.45,Medium
5116,C-scan (BVID with Holes),Damaged,BVID,2,0.513,0.074,24.55,0.931,0.255,0.518,109.19,7.77,0.161,1.295,27.42,366.59,Low
5117,C-scan (BVID with Holes),Damaged,BVID,2,0.688,0.024,16.1,0.909,0.322,0.676,113.2,8.65,0.168,4.985,53.82,560.49,Medium
5118,C-scan (BVID with Holes),Damaged,BVID,3,0.468,0.042,71.15,0.412,0.788,0.833,77.47,10.51,0.144,4.421,50.39,624.59,Medium
5119,C-scan (BVID with Holes),Damaged,BVID,6,0.63,0.062,55.79,0.193,0.531,0.435,93.98,5.29,0.081,1.401,27.46,420.8,Low
5120,C-scan (Pristine with Holes),Pristine,None,3,0.55,0.048,9.87,0.829,0.375,0.415,28.7,13.82,0.019,0.425,48.3,407.1,High
5121,Thermograph,Mixed,Thermal Anomaly,5,0.664,0.054,26.28,0.342,0.76,0.319,96.0,9.22,0.116,2.816,21.91,418.17,Low
5122,C-scan (Pristine with Holes),Pristine,None,3,0.532,0.08,61.06,0.377,0.444,0.383,104.68,14.07,0.011,0.934,27.57,735.91,Low
5123,Thermograph,Mixed,Thermal Anomaly,5,0.585,0.017,71.1,0.643,0.539,0.771,79.69,12.55,0.056,0.929,47.8,632.53,High
5124,C-scan (Pristine with Holes),Pristine,None,4,0.579,0.046,6.42,0.77,0.992,0.204,28.74,9.77,0.036,0.608,55.98,436.82,High
5125,Thermograph,Mixed,None,2,0.654,0.053,54.19,0.566,0.118,0.698,104.14,6.68,0.053,1.007,39.61,879.3,Medium
5126,C-scan (Pristine with Holes),Pristine,None,6,0.478,0.011,83.92,0.11,0.531,0.434,67.4,6.57,0.018,0.528,57.63,803.2,High
5127,C-scan (BVID with Holes),Damaged,BVID,4,0.669,0.068,63.63,0.722,0.323,0.727,48.89,4.56,0.117,1.721,43.63,559.38,Medium
5128,C-scan (BVID with Holes),Damaged,BVID,5,0.645,0.048,14.28,0.736,0.309,0.217,84.96,10.91,0.12,4.705,41.6,592.36,Medium
5129,C-scan (BVID with Holes),Damaged,BVID,4,0.452,0.048,56.57,0.51,0.396,0.588,85.51,4.7,0.144,1.855,21.79,748.45,Low
5130,C-scan (BVID with Holes),Damaged,BVID,5,0.584,0.015,46.77,0.458,0.65,0.456,31.51,8.09,0.085,3.14,53.27,891.43,Medium
5131,C-scan (BVID with Holes),Damaged,BVID,2,0.474,0.076,46.21,0.291,0.986,0.44,87.21,4.75,0.121,1.658,25.43,488.12,Low
5132,C-scan (Pristine with Holes),Pristine,None,6,0.546,0.015,65.65,0.961,0.154,0.716,32.72,9.21,0.033,0.217,37.51,503.8,Medium
5133,Thermograph,Mixed,Thermal Anomaly,6,0.629,0.027,60.44,0.439,0.49,0.786,57.86,14.78,0.104,1.743,25.01,708.96,Low
5134,Thermograph,Mixed,None,6,0.612,0.028,49.93,0.806,0.129,0.348,105.87,0.58,0.095,2.497,42.7,879.21,Medium
5135,C-scan (Pristine with Holes),Pristine,None,5,0.595,0.014,51.63,0.402,0.204,0.439,90.73,1.38,0.013,0.762,55.74,809.7,High
5136,C-scan (Pristine with Holes),Pristine,None,5,0.547,0.058,55.21,0.727,0.282,0.541,119.94,12.02,0.037,0.367,50.87,466.59,High
5137,C-scan (BVID with Holes),Damaged,BVID,4,0.494,0.07,83.83,0.281,0.236,0.465,28.58,11.99,0.102,1.008,23.19,599.69,Low
5138,C-scan (BVID with Holes),Damaged,BVID,2,0.522,0.045,4.05,0.164,0.16,0.717,115.7,14.83,0.134,4.385,45.01,856.1,Medium
5139,Thermograph,Mixed,None,6,0.528,0.059,6.41,0.531,0.112,0.368,44.6,2.16,0.087,2.089,39.31,472.52,Medium
5140,C-scan (BVID with Holes),Damaged,BVID,2,0.469,0.037,77.46,0.587,0.738,0.695,114.65,12.13,0.095,4.327,39.52,809.63,Medium
5141,C-scan (Pristine with Holes),Pristine,None,4,0.665,0.063,39.65,0.978,0.754,0.546,66.66,9.05,0.044,0.585,22.41,682.54,Low
5142,Thermograph,Mixed,None,4,0.697,0.059,82.63,0.549,0.429,0.28,29.77,3.9,0.136,1.644,56.95,763.28,Medium
5143,C-scan (BVID with Holes),Damaged,BVID,6,0.698,0.073,6.18,0.447,0.447,0.828,97.42,9.45,0.185,1.761,43.36,630.37,Medium
5144,C-scan (BVID with Holes),Damaged,BVID,5,0.596,0.078,73.25,0.167,0.131,0.775,55.86,2.62,0.109,4.725,21.13,649.98,Low
5145,Thermograph,Mixed,Thermal Anomaly,4,0.674,0.058,73.85,0.855,0.523,0.849,84.95,12.27,0.117,1.42,23.04,750.7,Low
5146,Thermograph,Mixed,None,5,0.7,0.026,86.05,0.119,0.673,0.876,60.23,6.29,0.146,0.857,47.18,570.24,Medium
5147,C-scan (Pristine with Holes),Pristine,None,6,0.644,0.036,79.72,0.191,0.475,0.478,61.46,13.03,0.024,0.649,54.08,736.7,High
5148,Thermograph,Mixed,None,5,0.493,0.047,21.74,0.303,0.809,0.443,60.26,6.59,0.102,0.613,23.22,808.21,Low
5149,Thermograph,Mixed,None,4,0.57,0.07,61.2,0.402,0.424,0.381,93.24,2.64,0.064,2.886,51.28,804.1,High
5150,C-scan (BVID with Holes),Damaged,BVID,6,0.627,0.026,58.36,0.649,0.221,0.502,83.18,14.31,0.15,1.787,36.55,416.87,Medium
5151,C-scan (BVID with Holes),Damaged,BVID,3,0.507,0.068,22.48,0.76,0.248,0.874,82.14,4.61,0.107,1.044,34.7,374.47,Medium
5152,C-scan (BVID with Holes),Damaged,BVID,5,0.66,0.07,71.33,0.581,0.656,0.88,69.66,13.35,0.135,1.045,59.79,623.22,Medium
5153,C-scan (BVID with Holes),Damaged,BVID,4,0.522,0.012,79.55,0.909,0.62,0.665,42.52,10.47,0.164,1.682,35.79,839.37,Medium
5154,C-scan (BVID with Holes),Damaged,BVID,2,0.652,0.077,4.97,0.414,0.729,0.58,59.46,0.87,0.195,4.49,31.87,736.19,Medium
5155,C-scan (Pristine with Holes),Pristine,None,4,0.689,0.056,12.51,0.616,0.703,0.478,65.6,7.99,0.023,0.371,37.58,551.49,Medium
5156,Thermograph,Mixed,None,3,0.507,0.021,43.62,0.669,0.325,0.739,85.17,4.63,0.105,1.526,44.83,453.07,Medium
5157,Thermograph,Mixed,Thermal Anomaly,2,0.594,0.029,9.79,0.781,0.551,0.596,43.0,8.51,0.067,1.587,36.34,892.91,Medium
5158,Thermograph,Mixed,None,4,0.503,0.034,6.1,0.559,0.922,0.649,111.42,13.36,0.133,1.836,25.14,710.17,Low
5159,C-scan (BVID with Holes),Damaged,BVID,4,0.6,0.07,84.5,0.703,0.937,0.743,85.57,8.93,0.13,2.89,35.78,766.44,Medium
5160,C-scan (Pristine with Holes),Pristine,None,2,0.531,0.02,4.97,0.544,0.957,0.861,34.11,3.27,0.045,0.636,34.99,666.09,Medium
5161,C-scan (BVID with Holes),Damaged,BVID,4,0.681,0.016,76.77,0.722,0.883,0.833,91.76,5.97,0.1,3.024,32.03,372.29,Medium
5162,C-scan (Pristine with Holes),Pristine,None,5,0.578,0.067,2.25,0.712,0.929,0.892,31.81,12.64,0.027,0.327,59.39,710.31,High
5163,C-scan (BVID with Holes),Damaged,BVID,6,0.542,0.057,3.25,0.77,0.22,0.403,43.24,6.55,0.186,4.84,58.56,684.36,Medium
5164,C-scan (BVID with Holes),Damaged,BVID,3,0.536,0.045,46.53,0.356,0.383,0.24,69.58,11.43,0.128,4.506,36.14,497.29,Medium
5165,Thermograph,Mixed,Thermal Anomaly,2,0.589,0.065,89.02,0.373,0.257,0.858,79.19,11.57,0.049,2.606,29.37,564.79,Low
5166,C-scan (Pristine with Holes),Pristine,None,4,0.566,0.012,43.86,0.272,0.47,0.759,104.52,7.19,0.043,0.447,58.72,549.41,High
5167,Thermograph,Mixed,None,2,0.681,0.072,83.07,0.173,0.935,0.679,97.38,0.6,0.129,0.596,41.1,658.85,Medium
5168,C-scan (BVID with Holes),Damaged,BVID,5,0.565,0.067,42.22,0.173,0.493,0.213,110.24,3.24,0.087,1.203,55.94,427.9,Medium
5169,Thermograph,Mixed,None,4,0.627,0.033,72.1,0.305,0.516,0.312,53.38,10.5,0.075,2.021,47.69,604.07,High
5170,C-scan (Pristine with Holes),Pristine,None,3,0.557,0.017,63.52,0.532,0.939,0.342,25.35,7.86,0.041,0.421,49.01,755.25,High
5171,Thermograph,Mixed,None,6,0.516,0.05,17.6,0.796,0.308,0.646,105.3,14.91,0.124,2.554,36.77,759.71,Medium
5172,C-scan (Pristine with Holes),Pristine,None,5,0.575,0.028,70.05,0.345,0.285,0.819,76.6,2.19,0.029,0.405,49.76,460.78,High
5173,C-scan (Pristine with Holes),Pristine,None,5,0.565,0.037,2.2,0.627,0.391,0.755,33.77,7.82,0.044,0.542,23.15,646.02,Low
5174,C-scan (Pristine with Holes),Pristine,None,4,0.63,0.022,3.25,0.72,0.568,0.82,68.25,7.04,0.044,0.411,39.04,873.74,Medium
5175,C-scan (BVID with Holes),Damaged,BVID,4,0.532,0.041,58.94,0.543,0.509,0.505,40.33,8.96,0.129,3.268,49.73,440.22,Medium
5176,Thermograph,Mixed,Thermal Anomaly,2,0.588,0.023,14.75,0.971,0.42,0.221,99.15,4.93,0.111,0.777,40.88,748.56,Medium
5177,C-scan (Pristine with Holes),Pristine,None,3,0.546,0.064,33.59,0.42,0.47,0.373,112.26,5.83,0.019,0.808,23.08,418.96,Low
5178,C-scan (Pristine with Holes),Pristine,None,3,0.485,0.015,54.94,0.301,0.676,0.517,118.19,4.54,0.018,0.418,27.02,426.36,Low
5179,C-scan (BVID with Holes),Damaged,BVID,6,0.509,0.065,37.03,0.821,0.925,0.742,45.81,5.15,0.118,2.789,52.49,371.2,Medium
5180,C-scan (BVID with Holes),Damaged,BVID,4,0.664,0.071,12.8,0.666,0.682,0.357,33.87,9.12,0.192,4.09,44.27,582.66,Medium
5181,Thermograph,Mixed,None,3,0.625,0.049,32.96,0.477,0.585,0.86,91.59,8.19,0.031,3.113,42.25,427.58,Medium
5182,C-scan (Pristine with Holes),Pristine,None,5,0.655,0.026,2.33,0.663,0.419,0.748,63.73,11.68,0.041,0.328,38.29,880.93,Medium
5183,Thermograph,Mixed,None,6,0.63,0.074,64.14,0.605,0.404,0.346,101.24,5.93,0.038,0.747,38.01,822.9,Medium
5184,Thermograph,Mixed,Thermal Anomaly,2,0.654,0.062,50.97,0.952,0.923,0.621,105.18,13.33,0.07,1.902,46.38,790.33,High
5185,C-scan (Pristine with Holes),Pristine,None,2,0.628,0.066,23.98,0.877,0.608,0.465,51.1,10.59,0.03,0.609,34.03,738.99,Medium
5186,Thermograph,Mixed,Thermal Anomaly,3,0.532,0.037,70.91,0.678,0.556,0.248,46.28,6.9,0.137,3.09,37.3,635.16,Medium
5187,C-scan (Pristine with Holes),Pristine,None,4,0.597,0.062,18.05,0.249,0.466,0.695,43.57,7.55,0.011,0.851,26.81,834.16,Low
5188,Thermograph,Mixed,Thermal Anomaly,5,0.626,0.046,48.41,0.23,0.254,0.745,77.66,9.13,0.088,2.111,20.97,518.1,Low
5189,Thermograph,Mixed,None,4,0.692,0.044,42.62,0.525,0.218,0.335,69.79,0.69,0.05,1.699,20.8,503.78,Low
5190,C-scan (BVID with Holes),Damaged,BVID,5,0.592,0.056,44.8,0.904,0.275,0.636,111.52,14.38,0.125,4.277,38.57,365.42,Medium
5191,C-scan (BVID with Holes),Damaged,BVID,2,0.546,0.044,37.15,0.186,0.311,0.731,69.74,11.4,0.092,2.479,47.32,359.77,Medium
5192,C-scan (Pristine with Holes),Pristine,None,4,0.548,0.062,45.83,0.262,0.382,0.57,82.11,5.78,0.011,0.118,22.69,409.39,Low
5193,Thermograph,Mixed,Thermal Anomaly,5,0.483,0.014,38.07,0.511,0.586,0.402,72.17,14.98,0.131,1.379,48.42,465.35,Medium
5194,C-scan (Pristine with Holes),Pristine,None,6,0.662,0.035,21.17,0.873,0.303,0.341,53.11,9.01,0.039,0.376,34.02,744.32,Medium
5195,Thermograph,Mixed,Thermal Anomaly,3,0.528,0.053,62.84,0.606,0.324,0.65,99.07,13.64,0.099,1.901,27.29,391.9,Low
5196,Thermograph,Mixed,None,5,0.552,0.012,43.42,0.35,0.133,0.745,41.96,6.03,0.144,0.634,22.04,833.31,Low
5197,C-scan (BVID with Holes),Damaged,BVID,5,0.585,0.036,53.99,0.757,0.453,0.281,53.15,5.08,0.198,1.853,21.03,546.38,Low
5198,Thermograph,Mixed,Thermal Anomaly,4,0.7,0.069,36.36,0.257,0.717,0.329,47.48,4.44,0.092,1.463,34.93,833.55,Medium
5199,C-scan (Pristine with Holes),Pristine,None,4,0.552,0.026,32.8,0.697,0.313,0.788,42.54,9.37,0.028,0.764,34.78,490.94,Medium
5200,C-scan (BVID with Holes),Damaged,BVID,6,0.48,0.035,58.94,0.603,0.658,0.686,101.47,4.59,0.149,1.628,24.63,534.05,Low
5201,Thermograph,Mixed,None,3,0.475,0.046,18.12,0.839,0.232,0.383,40.74,8.61,0.063,2.63,21.23,769.35,Low
5202,C-scan (BVID with Holes),Damaged,BVID,3,0.491,0.044,88.49,0.368,0.454,0.324,41.45,2.74,0.111,3.558,44.31,655.41,Medium
5203,C-scan (BVID with Holes),Damaged,BVID,2,0.538,0.033,4.66,0.499,0.284,0.295,59.45,7.81,0.146,3.961,33.38,534.41,Medium
5204,C-scan (Pristine with Holes),Pristine,None,3,0.638,0.056,37.86,0.838,0.291,0.254,110.09,2.66,0.012,0.204,26.94,570.54,Low
5205,C-scan (Pristine with Holes),Pristine,None,4,0.611,0.031,41.26,0.71,0.806,0.319,67.45,2.35,0.039,0.671,45.65,897.51,High
5206,C-scan (Pristine with Holes),Pristine,None,4,0.674,0.041,47.58,0.658,0.308,0.563,60.71,11.06,0.034,0.263,49.41,544.49,High
5207,C-scan (Pristine with Holes),Pristine,None,5,0.473,0.044,36.1,0.913,0.426,0.493,49.27,5.08,0.039,0.708,41.3,579.54,Medium
5208,C-scan (BVID with Holes),Damaged,BVID,5,0.662,0.052,77.26,0.976,0.115,0.651,82.66,7.61,0.143,2.008,30.52,357.51,Medium
5209,Thermograph,Mixed,None,4,0.483,0.043,7.3,0.958,0.63,0.567,71.4,6.87,0.048,0.826,50.89,746.02,High
5210,C-scan (Pristine with Holes),Pristine,None,2,0.466,0.066,35.9,0.107,0.357,0.87,100.29,5.36,0.048,0.718,44.38,691.64,Medium
5211,Thermograph,Mixed,Thermal Anomaly,2,0.64,0.063,20.22,0.71,0.85,0.511,26.05,5.13,0.051,3.479,28.68,625.58,Low
5212,C-scan (BVID with Holes),Damaged,BVID,6,0.651,0.064,49.57,0.4,0.28,0.658,57.64,11.8,0.178,3.62,54.34,894.62,Medium
5213,Thermograph,Mixed,None,4,0.594,0.01,83.92,0.836,0.164,0.266,61.11,2.75,0.067,2.218,55.28,829.19,High
5214,C-scan (Pristine with Holes),Pristine,None,6,0.477,0.011,31.69,0.375,0.707,0.427,85.66,13.17,0.042,0.971,30.8,775.25,Medium
5215,C-scan (BVID with Holes),Damaged,BVID,2,0.524,0.041,15.61,0.4,0.15,0.502,119.77,5.26,0.102,3.704,56.59,599.74,Medium
5216,C-scan (BVID with Holes),Damaged,BVID,3,0.551,0.034,54.99,0.752,0.314,0.763,87.0,11.73,0.194,3.978,48.3,365.54,Medium
5217,C-scan (BVID with Holes),Damaged,BVID,6,0.509,0.015,63.08,0.676,0.113,0.305,68.11,0.85,0.086,2.988,51.19,553.91,Medium
5218,C-scan (Pristine with Holes),Pristine,None,2,0.61,0.053,36.45,0.38,0.737,0.306,51.03,0.83,0.05,0.158,37.14,831.33,Medium
5219,Thermograph,Mixed,Thermal Anomaly,5,0.552,0.046,27.96,0.52,0.456,0.469,73.29,6.64,0.031,2.404,22.85,670.86,Low
5220,Thermograph,Mixed,Thermal Anomaly,4,0.648,0.056,6.15,0.176,0.188,0.597,28.59,8.21,0.115,2.621,22.43,740.63,Low
5221,C-scan (BVID with Holes),Damaged,BVID,5,0.596,0.029,30.29,0.364,0.467,0.341,91.76,10.58,0.172,4.69,21.67,839.13,Low
5222,Thermograph,Mixed,None,5,0.525,0.027,6.31,0.737,0.245,0.484,84.02,2.76,0.042,2.696,40.34,641.71,Medium
5223,C-scan (BVID with Holes),Damaged,BVID,2,0.496,0.061,2.01,0.262,0.53,0.835,67.36,5.85,0.102,4.819,52.08,876.7,Medium
5224,Thermograph,Mixed,None,4,0.657,0.073,10.64,0.284,0.808,0.824,107.41,8.19,0.056,3.037,41.84,813.88,Medium
5225,C-scan (BVID with Holes),Damaged,BVID,5,0.57,0.045,77.98,0.38,0.953,0.76,40.29,0.5,0.18,2.48,40.36,692.11,Medium
5226,C-scan (Pristine with Holes),Pristine,None,2,0.495,0.058,52.38,0.181,0.737,0.251,93.18,0.92,0.033,0.187,41.62,729.84,Medium
5227,C-scan (Pristine with Holes),Pristine,None,6,0.677,0.017,63.03,0.359,0.466,0.843,98.52,0.59,0.014,0.234,44.0,821.72,Medium
5228,C-scan (Pristine with Holes),Pristine,None,6,0.476,0.013,68.99,0.287,0.154,0.213,89.75,5.8,0.04,0.792,24.79,612.7,Low
5229,Thermograph,Mixed,None,5,0.521,0.033,44.9,0.777,0.499,0.718,99.99,14.43,0.112,2.9,37.26,590.91,Medium
5230,Thermograph,Mixed,None,4,0.614,0.054,49.38,0.118,0.911,0.673,99.24,11.19,0.031,0.595,21.86,754.43,Low
5231,C-scan (BVID with Holes),Damaged,BVID,5,0.609,0.02,43.57,0.229,0.566,0.542,111.36,10.0,0.106,2.877,20.34,832.03,Low
5232,C-scan (BVID with Holes),Damaged,BVID,5,0.609,0.03,29.6,0.847,0.886,0.296,29.3,9.97,0.126,3.354,41.0,418.23,Medium
5233,Thermograph,Mixed,None,4,0.471,0.045,70.63,0.882,0.216,0.592,116.75,2.49,0.092,1.837,20.26,591.76,Low
5234,Thermograph,Mixed,None,4,0.591,0.076,78.51,0.228,0.478,0.471,34.44,1.73,0.124,1.355,48.6,686.36,Medium
5235,C-scan (Pristine with Holes),Pristine,None,4,0.667,0.031,59.52,0.449,0.63,0.256,95.99,11.77,0.035,0.389,20.09,547.51,Low
5236,C-scan (Pristine with Holes),Pristine,None,4,0.475,0.041,48.82,0.42,0.451,0.394,58.57,3.06,0.019,0.225,56.41,648.26,High
5237,Thermograph,Mixed,None,5,0.558,0.015,75.71,0.654,0.154,0.861,59.87,0.71,0.09,2.421,54.01,419.98,Medium
5238,C-scan (BVID with Holes),Damaged,BVID,2,0.575,0.057,13.95,0.156,0.876,0.287,56.06,10.5,0.114,1.149,51.88,895.47,Medium
5239,C-scan (Pristine with Holes),Pristine,None,4,0.646,0.07,83.65,0.407,0.232,0.527,25.13,11.11,0.049,0.946,42.68,671.84,Medium
5240,Thermograph,Mixed,Thermal Anomaly,4,0.611,0.019,26.61,0.215,0.53,0.304,85.44,5.55,0.094,0.849,50.66,877.84,Medium
5241,C-scan (BVID with Holes),Damaged,BVID,4,0.626,0.06,89.53,0.799,0.877,0.889,87.68,12.8,0.128,3.856,48.62,429.48,Medium
5242,C-scan (Pristine with Holes),Pristine,None,6,0.467,0.018,13.92,0.362,0.388,0.374,114.37,3.88,0.04,0.862,27.6,518.82,Low
5243,C-scan (BVID with Holes),Damaged,BVID,4,0.51,0.078,30.68,0.701,0.48,0.645,37.68,13.35,0.119,3.266,32.88,844.31,Medium
5244,C-scan (BVID with Holes),Damaged,BVID,6,0.631,0.043,75.53,0.305,0.539,0.531,104.48,0.85,0.111,4.729,42.88,592.23,Medium
5245,C-scan (BVID with Holes),Damaged,BVID,3,0.639,0.03,24.78,0.864,0.325,0.212,91.31,6.98,0.177,2.012,29.11,381.93,Low
5246,C-scan (BVID with Holes),Damaged,BVID,3,0.625,0.024,16.16,0.947,0.126,0.296,58.09,4.67,0.163,4.226,46.76,728.67,Medium
5247,C-scan (Pristine with Holes),Pristine,None,4,0.612,0.045,6.52,0.66,0.347,0.396,81.34,9.33,0.041,0.594,22.57,650.92,Low
5248,C-scan (Pristine with Holes),Pristine,None,6,0.634,0.029,40.67,0.592,0.221,0.649,54.74,5.27,0.01,0.864,33.3,542.44,Medium
5249,Thermograph,Mixed,None,4,0.539,0.041,70.3,0.618,0.462,0.668,60.98,8.06,0.09,2.518,21.04,838.26,Low
5250,C-scan (Pristine with Holes),Pristine,None,2,0.475,0.033,66.7,0.343,0.555,0.76,65.71,4.28,0.024,0.841,46.12,630.92,High
5251,C-scan (Pristine with Holes),Pristine,None,4,0.495,0.043,12.62,0.845,0.122,0.859,107.19,5.93,0.048,0.206,56.88,683.88,High
5252,C-scan (Pristine with Holes),Pristine,None,6,0.642,0.017,36.18,0.458,0.217,0.335,50.18,7.02,0.042,0.434,38.92,893.47,Medium
5253,C-scan (BVID with Holes),Damaged,BVID,2,0.582,0.039,68.9,0.944,0.938,0.313,75.96,8.72,0.169,1.034,29.14,730.9,Low
5254,Thermograph,Mixed,Thermal Anomaly,3,0.457,0.047,51.82,0.863,0.851,0.849,91.87,10.4,0.075,2.551,40.76,692.92,Medium
5255,C-scan (Pristine with Holes),Pristine,None,3,0.511,0.017,78.82,0.802,0.836,0.58,45.35,1.94,0.025,0.142,24.64,890.86,Low
5256,Thermograph,Mixed,Thermal Anomaly,2,0.679,0.011,37.23,0.987,0.245,0.717,30.13,12.27,0.061,3.006,29.23,714.78,Low
5257,C-scan (Pristine with Holes),Pristine,None,3,0.541,0.075,44.05,0.277,0.767,0.314,55.53,5.96,0.016,0.674,45.5,622.72,High
5258,C-scan (BVID with Holes),Damaged,BVID,3,0.581,0.05,54.44,0.578,0.331,0.409,33.25,2.4,0.083,4.542,30.45,696.71,Medium
5259,C-scan (BVID with Holes),Damaged,BVID,4,0.547,0.016,5.7,0.38,0.307,0.602,59.63,11.29,0.181,2.13,44.58,626.33,Medium
5260,C-scan (Pristine with Holes),Pristine,None,2,0.645,0.033,86.81,0.396,0.116,0.763,69.28,12.1,0.023,0.977,26.03,851.71,Low
5261,C-scan (BVID with Holes),Damaged,BVID,5,0.68,0.061,66.16,0.276,0.335,0.673,74.84,7.93,0.143,4.805,26.78,750.63,Low
